"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PHF21B",-12.2643503142681,-10.0336218358826,-15.2438336839462,-5.01184629429892,2.63200365132271,-1.8471102575387,0.0186617291331704,6.01684803047987e-09,1.01505692522058e-08,2.24772621255342e-14,1.46205606265255e-13
"PHF23",-5.62236069076973,-5.03448120057259,-7.03012718310208,-1.85072088696101,0.743456621320692,-2.33015178301708,0.0202612994470902,1.61187770926589e-15,2.59560381378967e-14,2.14238951888603e-14,1.41412855469444e-13
"PHF2P1",-14.8438216017806,-13.9855304495578,-15.6936805188248,-1.73289013137453,1.89693151668585,-0.850292552133052,0.153066670631385,8.13254706224012e-05,0.000107991172564068,1.64221019035348e-05,2.24599924152337e-05
"PHF3",-4.42922366568126,-3.72583420665351,-5.42728154152986,-1.75288309846264,1.32566878916862,-1.28307961468286,0.0693148592589223,9.22084603839073e-10,2.03531333358273e-09,1.12555643692017e-10,2.58896294938449e-10
"PHF5A",-6.89413871902476,-6.41637978846979,-8.06696975122135,-1.5429916739153,0.865498470428032,-1.5917174936961,0.044533349191445,1.24393743219937e-11,4.1799143283464e-11,3.30286077903867e-12,1.01035903946158e-11
"PHF6",-6.05375490671392,-5.47686641617697,-7.32225590665481,-2.03053284450178,1.26169358796289,-1.49431289150593,0.0461210496669052,2.31693638316609e-11,7.25272154094988e-11,6.92244238441754e-12,1.98278021614373e-11
"PHF7",-9.12988725666155,-8.4523585810747,-10.4610905237395,-1.98324038338728,0.99590834139201,-1.8870712455704,0.0162623748174713,5.82288349843962e-14,4.34371383759316e-13,1.36822028927787e-14,9.69760756969902e-14
"PHF8",-5.54459204434192,-4.95987090634892,-6.75466774663674,-1.89005482384426,1.08780456604258,-1.79719848602581,0.0111970794993375,2.83704406676365e-14,2.55493010153352e-13,7.83274237935691e-15,6.57213945198613e-14
"PHGDH",-4.90374790687139,-4.03005508697011,-7.16834840982753,-3.17756448477308,2.0369145944397,-1.53630131241236,0.0298587283772767,2.1699162900215e-10,5.38305250449992e-10,2.8006877090107e-13,1.19613267065039e-12
"PHIP",-5.30692282074763,-4.48553914977003,-6.01591267569241,-1.61858918661869,1.19210620664106,-1.30421888160196,0.0674666768516875,4.21857167262287e-10,9.88713106583715e-10,1.35291577818883e-10,3.07207338402634e-10
"PHKA1",-7.23078179659993,-6.92384856557762,-8.40826243287829,-1.36768897237301,1.33604563939453,-0.860529645809599,0.166133336903725,7.96497620724946e-06,1.18845208720107e-05,2.54099362909972e-06,3.85589253558023e-06
"PHKA2",-5.54780305090695,-5.64598311623731,-5.32466162038943,0.385161603264307,0.952445347489757,0.355572832850241,0.335643829403817,0.0277730463016338,0.990122253821768,0.031330637545703,0.993929884031798
"PHKB",-4.06000723686815,-3.3427116288018,-5.63672210084988,-2.41109962961515,1.02135504936756,-2.24855998470138,0.0109304855375995,3.3395953153391e-15,4.61148583517522e-14,2.39199256664053e-15,2.78189513298165e-14
